# H-META-1 confirmable-signature classifier — 120-claim balanced corpus
# Built 2026-04-14 per pilot spec findings/phase-c-structures/h-meta-1-classifier-pilot.md
# Author: classical-scholar
# Pre-registration seal: this TSV is delivered to computational-tester in locked form;
#   any subsequent class-balance edit requires amendment disclosure.
#
# Target class distribution (locked pre-labeling):
#   49 CLASS-C classical (classical claims confirmed at protocol rules tuple)
#   28 CLASS-C project (project findings audit-cleared)
#   18 CLASS-R classical (classical claims refuted at protocol rules tuple)
#   25 CLASS-R project (project findings refuted or nulled)
#   Total: 120
#
# Label rule (from pilot §Required):
#   CONFIRMED iff tested under docs/methodology.md rules tuple AND p < α_bon corrected
#   REFUTED iff p > α_bon at primary test OR claim failed under every counting-rule variation
#   PARTIAL/MIXED verdicts excluded from primary corpus (reserved for secondary)
#
# MW-6 verbatim-confidence note: nawʿ numbers below are per AMEND-12 tagging.
#   Physical-edition-verified items marked [VERIFIED]; others [PENDING] or [SECONDARY-TRIANGULATED].
#   Verdict validity does NOT depend on citation-verbatim confidence; a classical claim can have
#   PENDING chapter-number tag AND still be CONFIRMED-by-test. The two confidences are orthogonal.
#
# AMEND-4 feature reminders (for downstream L1 logistic fit):
#   - broad_hisab_claim: TRUE if claim involves 19/abjad/gematric/modular-residue
#   - substance_type: structural-formal | numerical-gematric | semantic
#
# Column order: claim_id	claim_source	era	genre	school	claim_type	unit	scope	specificity	broad_hisab_claim	substance_type	empirical_verdict	verdict_source
#
# ============================================================================
# 49 CLASS-C CLASSICAL (classical claims CONFIRMED at project rules tuple)
# ============================================================================
claim_id	claim_source	era	genre	school	claim_type	unit	scope	specificity	broad_hisab_claim	substance_type	empirical_verdict	verdict_source
C-CL-01	al-Suyūṭī Itqān, prophet-frequency table [PENDING]	classical-medieval	tafsīr	Shāfiʿī	word-count-symmetry	whole-corpus	universal	5	FALSE	structural-formal	CONFIRMED	MASTER §3b prophet-frequency table; Mūsā=136, Ibrāhīm=69, etc.
C-CL-02	al-Zarkashī Burhān, al-Raḥmān = 57 occurrences [SECONDARY-TRIANGULATED]	classical-medieval	tafsīr	Shāfiʿī	word-count-symmetry	whole-corpus	single-instance	5	FALSE	structural-formal	CONFIRMED	MASTER §3b core divine-name counts
C-CL-03	al-Suyūṭī Itqān nawʿ on hapax, 7 of 8 hapax claims [PENDING nawʿ]	classical-medieval	tafsīr	Shāfiʿī	word-count-symmetry	word	partial	5	FALSE	structural-formal	CONFIRMED	MASTER §3b "7 of 8 al-Suyūṭī hapax claims exact"
C-CL-04	al-Kirmānī, ~1,100 mutashābih pairs [SECONDARY-TRIANGULATED]	classical-medieval	iʿjāz-ʿilmī	Ashʿarī	word-count-symmetry	multi-verse	universal	4	FALSE	structural-formal	CONFIRMED	MASTER §3b "al-Kirmānī's ~1,100 mutashābih pairs matches detector at 1,085"
C-CL-05	al-Dānī Bayān, 8 per-surah verse counts [VERIFIED ed. Ḥamad p.78]	classical-medieval	qirāʾāt	Basran	letter-count	surah	partial	5	FALSE	structural-formal	CONFIRMED	MASTER §3b "Al-Dānī's 8 per-surah verse counts all match"
C-CL-06	classical malak = shayṭān count parity (88/88) [SECONDARY]	classical-medieval	tafsīr	multi	word-count-symmetry	whole-corpus	single-instance	5	FALSE	structural-formal	CONFIRMED	MASTER §3b "malak 88, shayṭān 88 parity"
C-CL-07	Ar-Raḥmān 31 refrain count [SECONDARY]	classical-medieval	tafsīr	multi	word-count-symmetry	surah	single-instance	5	FALSE	structural-formal	CONFIRMED	MASTER §3b refrain counts (Ar-Raḥmān)
C-CL-08	Al-Mursalāt 10 waylun refrain count [SECONDARY]	classical-medieval	tafsīr	multi	word-count-symmetry	surah	single-instance	5	FALSE	structural-formal	CONFIRMED	MASTER §3b refrain counts (Al-Mursalāt)
C-CL-09	al-Ṣāffāt 5 salām salutations [SECONDARY]	classical-medieval	tafsīr	multi	word-count-symmetry	surah	single-instance	5	FALSE	structural-formal	CONFIRMED	MASTER §3b refrain counts (Al-Ṣāffāt)
C-CL-10	al-Rāzī: 14 of 28 muqaṭṭaʿāt letters = half alphabet [SECONDARY]	classical-medieval	tafsīr	Ashʿarī	letter-count	whole-corpus	single-instance	5	FALSE	structural-formal	CONFIRMED	MASTER §3b "al-Rāzī's 14 of 28 muqaṭṭaʿāt letters = half the alphabet claim is EXACT"
