#	source: classical-scholar
#	delivered: 2026-04-12
#	purpose: Phase-2 conditional supplement to AMEND-13 H-NEW-21 40-site primary locked list
#	fires_when: AMEND-13 40-site primary passes at α=0.01 (Bonferroni-eligible against pooled + K-stratum + B-stratum gates)
#	parent_source_claim: al-Dānī, al-Bayān fī ʿAdd Āy al-Qurʾān, ed. Ghānim Qaddūrī al-Ḥamad, Kuwait 1994 (classical-scholar working-notes)
#	disjoint_from: the 40 sites pre-registered in AMEND-13 (Q 2:1, 2:142, 3:1, 3:73, 6:73, 7:1, 8:41, 10:1, 11:1, 12:1, 13:1, 14:1, 15:1, 16:17, 19:1, 20:1, 26:1, 27:1, 28:1, 29:1, 30:1, 31:1, 32:1, 36:1, 38:1, 40:1, 41:1, 42:1, 43:1, 44:1, 45:1, 46:1, 50:1, 55:13, 55:25, 68:1, 73:20, 74:31, 89:23, 91:15)
#	verbatim_confidence_note: Under post-AMEND-12 discipline, each row is individually tagged. MEDIUM/LOW rows require physical-edition verification before publication. HIGH rows are those where the dispute site is documented across multiple independent secondary sources (al-Baghawī, al-Qurṭubī, al-Suyūṭī Itqān nawʿ 18, Ibn al-Jazarī al-Nashr) in mutually-consistent form.
#	type_tags: K=Kufan-split, B=Basran-split, M=Madani-split, S=Shami-split, Mk=Makki-split; overlap-tags permitted (e.g. K/B means both Kufan and Basran split this site differently from the other four schools)
#
#	Columns: site_id	surah	verse_reference	type_tag	dispute_description	verbatim_confidence	notes
site_id	surah	verse_reference	type_tag	dispute_description	verbatim_confidence	notes
D41	2	2:285	B	Basran splits 2:285 into two verses at "al-rasūl bimā unzila ilayhi min rabbihi" versus Kufan single-verse; this affects the final-verse count of al-Baqara (286 Kufan / 287 Basran)	MEDIUM	Cross-referenced in al-Baghawī Maʿālim al-Tanzīl; terminal-verse-of-al-Baqara variance is a classical locus
D42	3	3:7	B	Basran splits at "wa-mā yaʿlamu taʾwīlahu illā Allāh" versus Kufan continues through "wa-l-rāsikhūna fī l-ʿilm" — the famous waqf tāmm vs waqf kāfī dispute, verse-boundary variant	HIGH	Documented extensively in al-Qurṭubī vol. 4 on the muḥkam/mutashābih passage; al-Dānī treats it as ʿadd dispute not only waqf dispute
D43	4	4:176	K	Kufan treats the terminal kalāla verse as single long verse; Madanī-First splits at "yubayyinu Allāhu lakum an taḍillū" — affects al-Nisāʾ total	MEDIUM	Terminal-verse-of-al-Nisāʾ dispute; al-Dānī catalogs both
D44	5	5:3	B	Basran and Kufan disagree on whether "al-yawma akmaltu lakum dīnakum" is a separate verse or part of a longer ḥalāl-list verse; affects al-Māʾida count	HIGH	The "perfection of religion" verse is a known ʿadd locus; both traditions well-documented
D45	6	6:36	B/K	Mid-surah dispute: Basran splits between "innamā yastajību alladhīna yasmaʿūna" and "wa-l-mawtā yabʿathuhumu Allāh" versus Kufan which joins	LOW	Working-notes recall; needs physical verification
D46	7	7:206	B	Terminal-verse dispute: Basran treats the sajda-verse as independent; Kufan reads through from 7:205. This is a sajda-recitation boundary	MEDIUM	Sajda-verse locations are classically fixed but the immediately-preceding verse-boundary varies
D47	9	9:1	K/B	The basmala-absence verse; Kufan starts al-Tawba without a basmala and treats 9:1 as verse 1, but some Basran traditions treat 8:75 as continuing into 9:1 as a compound pericope (minority view)	LOW	The 8/9 seam is the most unusual basmala dispute in the entire mushaf; al-Dānī specifically discusses
D48	11	11:5	B	Basran splits at "alā innahum yathnūna ṣudūrahum" versus Kufan's single verse running through "inna-hu ʿalīmun bi-dhāt al-ṣudūr"	LOW	Working-notes recall
D49	16	16:126	K	Terminal passage of al-Naḥl: Kufan splits at "wa-in ʿāqabtum" versus Basran's join through "wa-la-in ṣabartum"	MEDIUM	Documented in al-Baghawī; al-Dānī tabulates
D50	17	17:109	B	Terminal cluster: Basran splits at "yakhirrūna li-l-adhqāni yabkūna wa-yazīduhum khushūʿan" versus Kufan's longer reading	MEDIUM	Terminal-cluster ʿadd dispute characteristic of prostration-verse contexts
D51	18	18:1	Mk	Makki tradition splits the opening to separate "al-ḥamdu li-llāhi alladhī anzala ʿalā ʿabdihi al-kitāb" from "wa-lam yajʿal lahu ʿiwajan" versus Kufan's single-verse	MEDIUM	Opening-of-al-Kahf variance is classically noted but Makki-specific
D52	18	18:19	M	Madanī-First treats the Cave-sleepers dialogue as three verses; Kufan reads as two; affects mid-surah count	LOW	Dialogue verse-boundary dispute; working-notes
D53	22	22:78	B	Terminal verse of al-Ḥajj: Basran splits the long final verse containing "milla abīkum Ibrāhīm" and "huwa sammākum al-muslimīn" versus Kufan's single-verse	MEDIUM	Long-terminal-verse dispute
D54	25	25:77	S	Shami split: terminal verse of al-Furqān; Shami joins "mā yaʿbaʾu bikum rabbī" and "law-lā duʿāʾukum" versus Kufan's split	LOW	Shami-specific, rare in secondary-source cross-ref
D55	27	27:60-64	K/B	The *amman huwa* interrogative chain: Kufan and Basran disagree on whether each *amman* introduces a new verse or whether 60-64 collapse into a smaller number of verses	HIGH	The *amman huwa* refrain is a classically-noted ʿadd locus because the refrain structure invites different segmentations; al-Dānī discusses explicitly
D56	33	33:56	K	Kufan splits at "inna Allāha wa-malāʾikatahu yuṣallūna ʿalā al-nabī" versus other schools which read through the ṣalāt-al-nabī command verse	MEDIUM	The "ṣalāt al-nabī" verse is a classical fiqh-anchor verse; dispute is over where the command phrase ends
D57	39	39:3	B	Basran splits at "alā li-llāhi al-dīnu al-khāliṣ" versus Kufan's continuation through "mā naʿbuduhum illā li-yuqarribūnā ilā Allāhi zulfā"	MEDIUM	Classical ʿadd locus because the split shifts the waqf of the devotional-purity statement
D58	41	41:40	B	Basran splits the "alladhīna yulḥidūna fī āyātinā" passage differently from Kufan; mid-surah boundary	LOW	Working-notes
D59	47	47:38	K	Terminal verse of Muḥammad: Kufan splits at "hā antum hāʾulāʾi" versus other schools; affects final-verse count of al-Qitāl/Muḥammad	MEDIUM	Terminal-verse dispute; cross-referenced in al-Baghawī
D60	56	56:75-76	B	The oath "fa-lā uqsimu bi-mawāqiʿi al-nujūm" verse-boundary: Basran treats 75 and 76 as a single oath-formula; Kufan splits	HIGH	Classical-oath segmentation dispute, documented because the oath-formula's waqf significance affects recitation
D61	67	67:13	K	Mid-surah split in al-Mulk: Kufan separates "wa-asirrū qawlakum aw ijharū bihi innahu ʿalīmun bi-dhāt al-ṣudūr" as its own verse; other schools read it as continuation	LOW	Working-notes; al-Dānī's documentation uncertain
D62	78	78:37	K/S	Terminal cluster of al-Nabaʾ: Kufan and Shami disagree on whether "rabbi al-samāwāti wa-l-arḍ wa-mā baynahumā al-raḥmān" is its own verse or joined with 38 "yawma yaqūmu al-rūḥ wa-l-malāʾika ṣaffan"	MEDIUM	Terminal-cluster dispute of an eschatological surah, classically noted
D63	81	81:15-18	B	The *fa-lā uqsimu* oath cluster: Basran segments the *al-jawāri al-kunnas* / *al-layli idhā ʿasʿas* / *al-ṣubḥi idhā tanaffas* trilogy differently; Kufan treats each as independent verse	HIGH	Oath-cluster dispute, matches the pattern at D60; classical documentation strong
#
# END OF 23-SITE SUPPLEMENT
#
# Type-tag summary: K=6 (D43, D49, D55*, D56, D59, D61) with K/S=1 (D62) and K/B=2 (D47, D55); B=11 (D41-D44, D45*, D46, D48, D50, D53, D57, D58, D60, D63); M=1 (D52); Mk=1 (D51); S=1 (D54).
# *D45 and D55 carry overlap tags.
#
