window	start_surah	start_verse	start_word_idx	end_surah	end_verse	end_word_idx	cross_verse	phrase
3	2	3	5	2	3	7	False	ومما رزقناهم ينفقون
3	2	30	29	2	31	1	True	تعلمون وعلم آدم
3	2	87	13	2	87	15	False	البينات وأيدناه بروح
3	2	160	9	2	160	11	False	وأنا التواب الرحيم
3	2	237	0	2	237	2	False	وإن طلقتموهن من
3	2	253	21	2	253	23	False	البينات وأيدناه بروح
3	3	4	9	3	4	11	False	كفروا بآيات الله
3	4	26	8	4	26	10	False	قبلكم ويتوب عليكم
3	6	101	12	6	101	14	False	ۖ وخلق كل
3	7	50	18	7	50	20	False	حرمهما على الكافرين
3	7	85	0	7	85	2	False	وإلى مدين أخاهم
3	8	3	3	8	3	5	False	ومما رزقناهم ينفقون
3	8	52	8	8	52	10	False	كفروا بآيات الله
3	8	62	8	8	62	10	False	هو الذي أيدك
3	10	26	11	10	26	13	False	ذلة ۚ أولئك
3	10	42	1	10	42	3	False	من يستمعون إليك
3	11	48	15	11	48	17	False	ثم يمسهم منا
3	11	78	6	11	78	8	False	كانوا يعملون السيئات
3	11	78	29	11	79	1	True	رشيد قالوا لقد
3	11	84	1	11	84	3	False	وإلى مدين أخاهم
3	12	75	7	12	75	9	False	جزاؤه ۚ كذلك
3	13	8	13	13	8	15	False	شيء عنده بمقدار
3	17	5	2	17	5	4	False	وعد أولاهما بعثنا
3	18	16	8	18	16	10	False	الكهف ينشر لكم
3	18	24	8	18	24	10	False	نسيت وقل عسى
3	18	38	7	18	39	1	True	أحدا ولولا إذ
3	18	64	5	18	64	7	False	ۚ فارتدا على
3	18	98	16	18	99	1	True	حقا ۞ وتركنا
3	19	32	4	19	33	0	True	جبارا شقيا والسلام
3	22	5	71	22	6	0	True	زوج بهيج ذلك
3	22	35	12	22	35	14	False	ومما رزقناهم ينفقون
3	22	60	3	22	60	5	False	عاقب بمثل ما
3	24	21	13	24	21	15	False	الشيطان فإنه يأمر
3	27	7	10	27	7	12	False	أو آتيكم بشهاب
3	28	54	9	28	54	11	False	ومما رزقناهم ينفقون
3	28	80	3	28	80	5	False	العلم ويلكم ثواب
3	29	13	3	29	13	5	False	مع أثقالهم ۖ
3	29	23	1	29	23	3	False	كفروا بآيات الله
3	29	36	0	29	36	2	False	وإلى مدين أخاهم
3	32	16	8	32	16	10	False	ومما رزقناهم ينفقون
3	33	55	7	33	55	9	False	ولا إخوانهن ولا
3	36	38	3	36	38	5	False	لها ۚ ذلك
3	37	18	0	37	18	2	False	قل نعم وأنتم
3	38	42	5	38	43	0	True	بارد وشراب ووهبنا
3	39	63	6	39	63	8	False	كفروا بآيات الله
3	40	3	6	40	3	8	False	ذي الطول ۖ
3	42	38	8	42	38	10	False	ومما رزقناهم ينفقون
3	56	36	0	56	37	0	True	فجعلناهن أبكارا عربا
3	57	12	7	57	12	9	False	أيديهم وبأيمانهم بشراكم
3	58	3	2	58	3	4	False	من نسائهم ثم
3	61	14	12	61	14	14	False	للحواريين من أنصاري
3	66	8	23	66	8	25	False	يخزي الله النبي
3	66	11	8	66	11	10	False	قالت رب ابن
3	79	35	3	79	36	0	True	ما سعى وبرزت
3	83	12	0	83	12	2	False	وما يكذب به
3	92	5	2	92	6	0	True	أعطى واتقى وصدق
4	1	1	0	1	1	3	False	بسم الله الرحمن الرحيم
4	2	85	42	2	85	45	False	القيامة يردون إلى أشد
4	2	102	40	2	102	43	False	يفرقون به بين المرء
4	2	160	8	2	160	11	False	ۚ وأنا التواب الرحيم
4	2	218	11	2	218	14	False	رحمت الله ۚ والله
4	3	90	3	3	90	6	False	بعد إيمانهم ثم ازدادوا
4	3	179	24	3	179	27	False	من رسله من يشاء
4	4	26	8	4	26	11	False	قبلكم ويتوب عليكم ۗ
4	4	175	2	4	175	5	False	آمنوا بالله واعتصموا به
4	6	100	0	6	100	3	False	وجعلوا لله شركاء الجن
4	6	151	39	6	151	42	False	التي حرم الله إلا
4	7	105	12	7	105	15	False	ببينة من ربكم فأرسل
4	8	21	7	8	22	2	True	يسمعون ۞ إن شر
