loc,surah,verse,word,seg,form,pos,lemma,tag
(2:17:4:1),2,17,4,1,{sotawoqada,V,{sotawoqada,V
(2:24:9:1),2,24,9,1,waquwdu,N,waquwd,N
(3:10:15:1),3,10,15,1,waquwdu,N,waquwd,N
(5:64:35:1),5,64,35,1,>awoqadu,V,>awoqadu,V
(13:17:13:1),13,17,13,1,yuwqidu,V,>awoqadu,V
(24:35:17:1),24,35,17,1,yuwqadu,V,>awoqadu,V
(28:38:11:2),28,38,11,2,>awoqido,V,>awoqadu,V
(36:80:11:1),36,80,11,1,tuwqidu,V,>awoqadu,V
(66:6:8:1),66,6,8,1,waquwdu,N,waquwd,N
(85:5:3:2),85,5,3,2,waquwdi,N,waquwd,N
(104:6:3:2),104,6,3,2,muwqadapu,ADJ,muwqadap,ADJ
