edition	files	empty	short_lt20	distinct_blocks	verses_in_shared_blocks	pct_in_shared_blocks	median_raw_len	verses_with_marker	pct_verses_with_marker
ar-tafsir-al-tabari	6236	0	1	6186	83	1.33	1282.0	2900	46.5
ar-tafseer-al-qurtubi	6236	0	37	6116	147	2.36	779.0	3853	61.79
ar-tafsir-ibn-kathir	6236	0	57	5894	536	8.6	480.0	1232	19.76
ar-tafsir-al-baghawi	6236	0	41	6171	83	1.33	287.0	2192	35.15
ar-tafseer-tanwir-al-miqbas	6236	0	0	6080	165	2.65	1748.0	1971	31.61
ar-tafseer-al-saddi	6236	0	5	5753	853	13.68	389.0	363	5.82
ar-tafsir-al-wasit	6236	0	0	6035	358	5.74	1034.5	1779	28.53
ar-tafsir-muyassar	6236	0	0	5018	1827	29.3	189.0	112	1.8
en-al-jalalayn	6236	0	5	6171	82	1.31	262.0	0	0.0
en-tafisr-ibn-kathir	6236	0	0	1895	5749	92.19	4538.5	0	0.0
en-tafsir-ibn-abbas	6236	0	2	6209	36	0.58	277.0	0	0.0
en-tafsir-maarif-ul-quran	6236	0	0	3037	4344	69.66	1799.0	0	0.0
