#	title	TSV for H-NEW-28.v2 al-Sakkākī × Neuwirth-Sinai genre bridge
#	delivered_by	classical-scholar (green)
#	delivered_date	2026-04-14
#	source_1	Angelika Neuwirth, Frühmekkanische Suren (1981) — early-Meccan pericope classification
#	source_2	Angelika Neuwirth, Der Koran als Text der Spätantike (2010) — full-corpus genre scheme refined
#	source_3	Nicolai Sinai, The Qurʾān: A Historical-Critical Introduction (2017) — cross-checked labels + middle/late-Meccan + Medinan
#	jurjani_tier_rationale	Classical-scholar mapping of each genre to al-Jurjānī U-curve poles: HIGH asyndeton = kamāl al-ittiṣāl (hymn/oath/eschatological pole) OR kamāl al-inqiṭāʿ (narrative-rupture pole); MED = tawassuṭ bayna al-kamālayn (middle-range exhortation/legal); LOW = strong syndetic cohesion
#	mw5_confidence_scheme	HIGH = Neuwirth/Sinai explicitly labels this surah in the cited work; MED = inferred by applying Neuwirth's schema to adjacent/structurally-similar surah; LOW = edge case or disputed
#	mw6_source_anchor	See neuwirth-sinai-source-anchors.md for page-range citations to each category
#	amend28_gate	N/A — Neuwirth/Sinai cite page numbers (not anwāʿ); AMEND-28 inapplicable
#	columns	surah_number	surah_name_translit	neuwirth_phase	neuwirth_genre	sinai_genre	jurjani_predicted_asyndeton_tier	mw5_confidence	notes
#
surah_number	surah_name_translit	neuwirth_phase	neuwirth_genre	sinai_genre	jurjani_predicted_asyndeton_tier	mw5_confidence	notes
1	al-Fātiḥa	liturgical-opening	liturgical-prayer	liturgical-prayer	HIGH	HIGH	Neuwirth+Sinai both treat as liturgical-opening outside the phase scheme
2	al-Baqara	Medinan-long	community-forming-polemical	legal-exhortative-polemical	MED	HIGH	Neuwirth Gemeindebildende; Sinai legal-polemical composite
3	Āl-ʿImrān	Medinan-long	community-forming-polemical	legal-exhortative-polemical	MED	HIGH	Medinan polemical engagement with ahl al-kitāb
4	al-Nisāʾ	Medinan-long	legal-exhortative	legal-exhortative	LOW	HIGH	Primarily legal; strongly syndetic
5	al-Māʾida	Medinan-long	legal-exhortative-polemical	legal-exhortative-polemical	LOW	HIGH	Legal framework
6	al-Anʿām	late-Meccan	scripture-reflective	scripture-reflective-polemical	MED	HIGH	Neuwirth Schriftsure
7	al-Aʿrāf	late-Meccan	narrative-qaṣaṣ	narrative-qaṣaṣ	HIGH	HIGH	Large narrative-cycle surah; break-points elevate asyndeton
8	al-Anfāl	Medinan-long	legal-exhortative	legal-exhortative	LOW	HIGH	Post-Badr legislation
9	al-Tawba	Medinan-long	polemical-legal	polemical-legal	LOW	HIGH	No basmala; strongly exhortative-legal
10	Yūnus	late-Meccan	narrative-scripture	narrative-scripture	MED	HIGH	Transitional
11	Hūd	late-Meccan	narrative-qaṣaṣ	narrative-qaṣaṣ	HIGH	HIGH	Cycle of prophet-narratives with rupture-breaks
12	Yūsuf	late-Meccan	narrative-qaṣaṣ-monolithic	narrative-qaṣaṣ-monolithic	MED	HIGH	Continuous monolithic narrative; internally cohesive so predicted MED not HIGH
13	al-Raʿd	late-Meccan/Medinan-border	scripture-reflective	scripture-reflective	MED	MED	Phase-disputed
14	Ibrāhīm	late-Meccan	scripture-reflective-qaṣaṣ	scripture-reflective-qaṣaṣ	MED	HIGH
15	al-Ḥijr	late-Meccan	narrative-qaṣaṣ	narrative-qaṣaṣ	HIGH	HIGH
16	al-Naḥl	late-Meccan	scripture-reflective-polemical	scripture-reflective-polemical	MED	HIGH	Neuwirth Schriftsure
17	al-Isrāʾ	late-Meccan	scripture-reflective	scripture-reflective	MED	HIGH
18	al-Kahf	late-Meccan	narrative-qaṣaṣ-with-frame	narrative-qaṣaṣ-with-frame	HIGH	HIGH	Four embedded narratives with strong break-points
19	Maryam	middle-Meccan	narrative-hymnic	narrative-hymnic	HIGH	HIGH	Neuwirth treats as hymnic-narrative hybrid
20	Ṭā-Hā	middle-Meccan	narrative-qaṣaṣ-bipartite	narrative-qaṣaṣ-bipartite	HIGH	HIGH	Neuwirth bipartite structure (narrative + eschatology)
21	al-Anbiyāʾ	middle-Meccan	narrative-catalog	narrative-catalog	HIGH	HIGH	Prophet-catalog with rupture-breaks
22	al-Ḥajj	late-Meccan/Medinan-hybrid	hybrid	hybrid	MED	MED	Phase-disputed
23	al-Muʾminūn	middle-Meccan	tripartite-structure	tripartite-structure	HIGH	HIGH	Neuwirth classic tripartite
24	al-Nūr	Medinan-long	legal-exhortative	legal-exhortative	LOW	HIGH
25	al-Furqān	middle-Meccan	scripture-reflective-polemical	scripture-reflective-polemical	MED	HIGH
26	al-Shuʿarāʾ	middle-Meccan	narrative-catalog	narrative-catalog	HIGH	HIGH	Seven-prophet narrative cycle with strong breaks
27	al-Naml	middle-Meccan	narrative-qaṣaṣ	narrative-qaṣaṣ	HIGH	HIGH
28	al-Qaṣaṣ	middle-Meccan	narrative-qaṣaṣ	narrative-qaṣaṣ	HIGH	HIGH
29	al-ʿAnkabūt	late-Meccan	narrative-scripture	narrative-scripture	MED	HIGH
30	al-Rūm	late-Meccan	scripture-reflective	scripture-reflective	MED	HIGH
31	Luqmān	late-Meccan	exhortative-wisdom	exhortative-wisdom	LOW	HIGH
32	al-Sajda	middle-Meccan	scripture-reflective	scripture-reflective	MED	HIGH
33	al-Aḥzāb	Medinan-long	legal-exhortative	legal-exhortative	LOW	HIGH
34	Sabaʾ	late-Meccan	scripture-reflective-narrative	scripture-reflective-narrative	MED	HIGH
35	Fāṭir	late-Meccan	scripture-reflective	scripture-reflective	MED	HIGH
36	Yā-Sīn	middle-Meccan	tripartite-structure	tripartite-structure	HIGH	HIGH	Classic Neuwirth tripartite (sign-narrative-eschatology)
37	al-Ṣāffāt	middle-Meccan	oath-sworn-narrative	oath-sworn-narrative	HIGH	HIGH	Oath-opening + catalog narratives
38	Ṣād	middle-Meccan	narrative-catalog	narrative-catalog	HIGH	HIGH
39	al-Zumar	late-Meccan	scripture-reflective	scripture-reflective	MED	HIGH
40	Ghāfir	late-Meccan	scripture-reflective-narrative	scripture-reflective-narrative	MED	HIGH
41	Fuṣṣilat	late-Meccan	scripture-reflective	scripture-reflective	MED	HIGH
42	al-Shūrā	late-Meccan	scripture-reflective	scripture-reflective	MED	HIGH
