surah,verse,type,tenor,vehicle,formula,notes
2,17,A,hypocrites,fire-kindler extinguished,mathaluhum ka-,classic hypocrite parable; darkness follows light
2,23,E,Quran inimitability,mithl (challenge formula),surah mithlih,not a parable; challenge verse
2,26,C,Allah teaches parables,mosquito (meta),mathalan ma baʿūḍatan,meta-statement about small-vehicle parables
2,106,E,abrogation,mithliha,mithliha,not parable; legal
2,113,E,sectarian speech,mithla qawlihim,kadhalika,non-parable
2,118,E,prior peoples speak alike,mithla qawlihim,tashabahat qulubuhum,near-parable: hearts resemble
2,137,E,faith equivalence,mithl ma amantum,,non-parable
2,171,A,disbelievers,shepherd yelling at deaf cattle,mathalu lladhīna kafarū ka-mathali,deaf/dumb/blind cluster
2,194,E,legal retribution,mithl ma iʿtada,,non-parable; lex talionis
2,214,E,testing like predecessors,mithl ma atā,,near-parable: suffering analogy
2,228,E,womens rights,mithl alladhī,,non-parable; legal equity
2,233,E,nursing duty,mithl dhalika,,non-parable; legal
2,261,A,almsgiver,seed → 7 spikes → 100 grains,mathalu lladhīna yunfiqūna ka-mathali,agricultural multiplication
2,264,A,hypocrite giver,"smooth stone with dust, rainstorm exposes",mathaluhu ka-mathali,sincerity contrast; adjacent to 2:265
2,265,A,sincere giver,"garden on hill, rain → double fruit",mathalu lladhīna yunfiqūna ka-mathali,contrast with 2:264
2,275,B,usurer standing,like one Satan touched,ka-mā yaqūmu,condensed simile
3,13,E,Badr sign,,āya,non-parable
3,59,A,Jesus before God,like Adam from dust,mathala ʿIsā ka-mathali Ādam,Christological parable
3,73,E,exclusivity,,mithl,non-parable
3,117,A,disbelievers charity,frost-wind destroys crop,mathalu ma yunfiqūna ka-mathali rīḥ,harvest destroyed
3,140,E,wound analogy,,qarḥ mithluhu,non-parable; consolation
3,165,E,Uhud calamity,,mithlayhā,non-parable
4,11,E,inheritance,,mithl ḥaẓẓ,legal; 2:1 ratio
4,140,E,sitting with mockers,,mithluhum,non-parable warning
4,176,E,kalala inheritance,,,non-parable
5,31,B,Cain and crow,like this crow,an akūna mithl,short narrative simile
5,36,E,ransom impossible,,mithluhu maʿahu,non-parable
5,95,E,hunting penalty,,mithl,legal
6,38,E,animals are communities,,umam amthālukum,theological; near-parable
6,93,E,false revelation claim,,mithla mā anzala,non-parable
6,122,A,believer vs disbeliever,"dead-vs-alive, darkness-vs-light",ka-man mathaluhu,contrast parable
6,124,E,sign demand,,mithla mā,non-parable
6,160,E,good-deed reward,,ʿashru amthālihā,10× multiplier
7,169,E,later generations,,ʿaraḍ mithluhu,non-parable
7,176,A,apostate scholar,dog panting whether chased or left,mathaluhu ka-mathali l-kalb,the Balʿam pericope
7,177,D,evil example,,sāʾa mathalan,meta-evaluation
7,194,E,idols are servants,,ʿibād amthālukum,near-parable
8,31,E,Quran dismissal,,mithla hādhā,non-parable
10,24,A,this worldly life,rain → lush → harvest/stubble,mathalu l-ḥayāti l-dunyā ka-mā,dunyā parable #1
10,27,B,disbelievers faces,dark as pieces of night,kaʾannamā ughshiyat,condensed
10,38,E,Quran challenge,,sūra mithlih,non-parable
10,102,E,awaiting doom,,mithla ayyām,non-parable
11,13,E,Quran challenge,,ʿashr suwar mithlihi,non-parable
11,24,A,two parties,blind+deaf vs seeing+hearing,mathalu l-farīqayn ka-l-aʿmā,binary contrast
11,27,E,man like us,,bashar mithluna,recurring formula
11,89,E,fate like Noah/Hud/Salih,,mithl,non-parable
13,6,E,similar punishments,,mithlātuhā,non-parable
13,17,A,truth vs falsehood,rain-foam vs water/ore-foam vs metal,yaḍribu Allāhu l-amthāla,foam parable
13,18,E,ransom impossible,,mithlahu maʿahu,non-parable; echoes 5:36
13,35,A,Paradise,"garden with flowing rivers, lasting fruit",mathalu l-jannati,paradise-as-garden
14,10,E,messengers are men,,bashar mithluna,formula
14,11,E,messengers are men,,bashar mithlukum,formula
14,18,A,disbelievers deeds,ashes in stormy wind,mathalu lladhīna kafarū,deed-worthlessness
14,24,A,good word,"goodly tree rooted firm, branches in sky",mathalan kalimatan ṭayyiba ka-shajara,tree parable
14,25,C,good tree fruit,,al-amthāl,meta
